지역명,숙박업소 개수
강원특별자치도 강릉시,696.0833333333334
강원특별자치도 고성군,217.83333333333334
강원특별자치도 동해시,109.66666666666667
강원특별자치도 삼척시,171.08333333333334
강원특별자치도 속초시,288.4166666666667
강원특별자치도 양구군,20.583333333333332
강원특별자치도 양양군,359.0833333333333
강원특별자치도 영월군,116.66666666666667
강원특별자치도 원주시,144.66666666666666
강원특별자치도 인제군,94.66666666666667
강원특별자치도 정선군,102.08333333333333
강원특별자치도 철원군,30.083333333333332
강원특별자치도 춘천시,345.6666666666667
강원특별자치도 태백시,21.333333333333332
강원특별자치도 평창군,263.6666666666667
강원특별자치도 홍천군,266.5833333333333
강원특별자치도 화천군,57.5
강원특별자치도 횡성군,104.41666666666667
경상남도 거제시,595.1666666666666
경상남도 거창군,38.166666666666664
경상남도 고성군,51.583333333333336
경상남도 김해시,138.75
경상남도 남해군,389.1666666666667
경상남도 밀양시,99.58333333333333
경상남도 사천시,110.41666666666667
경상남도 산청군,89.5
경상남도 양산시,132.25
경상남도 의령군,7.75
경상남도 진주시,117.75
경상남도 창녕군,30.25
경상남도 창원시 마산합포구,73.83333333333333
경상남도 창원시 마산회원구,34.166666666666664
경상남도 창원시 성산구,92.75
경상남도 창원시 의창구,83.41666666666667
경상남도 창원시 진해구,54.5
경상남도 통영시,334.6666666666667
경상남도 하동군,85.91666666666667
경상남도 함안군,11.0
경상남도 함양군,26.166666666666668
경상남도 합천군,46.5
경상북도 경산시,49.166666666666664
경상북도 경주시,816.25
경상북도 고령군,2.4166666666666665
경상북도 구미시,121.91666666666667
경상북도 군위군,10.583333333333334
경상북도 김천시,60.166666666666664
경상북도 문경시,75.91666666666667
경상북도 봉화군,17.583333333333332
경상북도 상주시,36.083333333333336
경상북도 성주군,47.583333333333336
경상북도 안동시,146.83333333333334
경상북도 영덕군,138.16666666666666
경상북도 영양군,2.0
경상북도 영주시,50.666666666666664
경상북도 영천시,35.166666666666664
경상북도 예천군,9.666666666666666
경상북도 울릉군,38.666666666666664
경상북도 울진군,77.91666666666667
경상북도 의성군,8.583333333333334
경상북도 청도군,79.0
경상북도 청송군,16.916666666666668
경상북도 칠곡군,34.25
경상북도 포항시,424.3333333333333
광주광역시 광산구,84.41666666666667
광주광역시 남구,16.333333333333332
광주광역시 동구,52.666666666666664
광주광역시 북구,70.0
광주광역시 서구,97.75
대구광역시 군위군,5.666666666666667
대구광역시 남구,24.333333333333332
대구광역시 달서구,72.08333333333333
대구광역시 달성군,28.0
대구광역시 동구,84.91666666666667
대구광역시 북구,52.333333333333336
대구광역시 서구,37.416666666666664
대구광역시 수성구,40.0
대구광역시 중구,58.416666666666664
대전광역시 대덕구,48.0
대전광역시 동구,50.083333333333336
대전광역시 서구,54.916666666666664
대전광역시 유성구,78.75
대전광역시 중구,54.0
부산광역시 강서구,56.75
부산광역시 금정구,29.416666666666668
부산광역시 기장군,116.83333333333333
부산광역시 남구,36.75
부산광역시 동구,83.66666666666667
부산광역시 동래구,53.416666666666664
부산광역시 부산광역시진구,9.5
부산광역시 부산진구,140.16666666666666
부산광역시 북구,52.416666666666664
부산광역시 사상구,62.666666666666664
부산광역시 사하구,38.75
부산광역시 서구,43.916666666666664
부산광역시 수영구,111.91666666666667
부산광역시 연제구,42.0
부산광역시 영도구,34.0
부산광역시 중구,89.58333333333333
부산광역시 해운대구,255.25
세종특별자치시 금남면,1.0
세종특별자치시 다솜3로,1.0
세종특별자치시 다솜로,2.0
세종특별자치시 도움1로,1.0
세종특별자치시 부강면,4.166666666666667
세종특별자치시 연동면,3.0
세종특별자치시 연서면,2.0
세종특별자치시 전동면,1.0
