일시,지역명,방문자수,검색건수,관외 이동량,숙박업소 개수
1,강원특별자치도 춘천시,8979957,229813,444582,312
1,강원특별자치도 원주시,9530785,199254,482623,133
1,강원특별자치도 강릉시,8031760,452294,565563,658
1,강원특별자치도 동해시,2946561,64643,167985,101
1,강원특별자치도 태백시,1491579,32726,92434,20
1,강원특별자치도 속초시,3936966,393337,389982,276
1,강원특별자치도 삼척시,2125769,73551,165310,157
1,강원특별자치도 홍천군,2496610,135728,272303,243
1,강원특별자치도 횡성군,1555292,55217,172222,93
1,강원특별자치도 영월군,974984,22211,86133,111
1,강원특별자치도 평창군,2588419,208928,272745,242
1,강원특별자치도 정선군,1634390,122096,189112,91
1,강원특별자치도 철원군,1246379,34211,85264,24
1,강원특별자치도 화천군,996882,17916,86317,55
1,강원특별자치도 양구군,674136,5592,31360,17
1,강원특별자치도 인제군,1291626,29924,94794,72
1,강원특별자치도 고성군,1551833,128424,148742,194
1,강원특별자치도 양양군,1851478,133503,155292,311
2,강원특별자치도 춘천시,8286297,253072,423095,313
2,강원특별자치도 원주시,8835746,212746,439045,131
2,강원특별자치도 강릉시,7381755,484104,601164,665
2,강원특별자치도 동해시,2607679,62865,145285,97
2,강원특별자치도 태백시,1288435,24808,72619,20
2,강원특별자치도 속초시,3763228,462960,450714,273
2,강원특별자치도 삼척시,1905294,77588,153930,156
2,강원특별자치도 홍천군,2252995,131038,245118,240
2,강원특별자치도 횡성군,1438571,60025,157369,92
2,강원특별자치도 영월군,908503,25733,79391,112
2,강원특별자치도 평창군,2250357,196575,235226,240
2,강원특별자치도 정선군,1499647,121426,180234,91
2,강원특별자치도 철원군,1159923,34761,77269,24
2,강원특별자치도 화천군,656144,7438,40008,56
2,강원특별자치도 양구군,619048,6883,27826,16
2,강원특별자치도 인제군,1115318,29659,89194,72
2,강원특별자치도 고성군,1494545,149468,167317,196
2,강원특별자치도 양양군,1737848,156583,178734,319
3,강원특별자치도 춘천시,10030162,276844,512295,313
3,강원특별자치도 원주시,10690647,227474,494286,130
3,강원특별자치도 강릉시,8434120,402956,531300,668
3,강원특별자치도 동해시,2895534,57407,138267,98
3,강원특별자치도 태백시,1360107,14606,53465,20
3,강원특별자치도 속초시,3695657,322684,311717,276
3,강원특별자치도 삼척시,2273493,70462,179910,157
3,강원특별자치도 홍천군,2275670,94185,184992,240
3,강원특별자치도 횡성군,1491219,48602,138069,93
3,강원특별자치도 영월군,1077945,25031,88535,111
3,강원특별자치도 평창군,1929804,92445,120457,243
3,강원특별자치도 정선군,1404124,73489,115280,96
3,강원특별자치도 철원군,1422416,40439,84107,25
3,강원특별자치도 화천군,850671,8892,47491,56
3,강원특별자치도 양구군,758608,8315,32457,18
3,강원특별자치도 인제군,1265258,21022,76229,73
3,강원특별자치도 고성군,1563456,113319,132574,194
3,강원특별자치도 양양군,1913423,132742,161744,319
4,강원특별자치도 춘천시,9020946,333542,443901,339
4,강원특별자치도 원주시,9438786,268264,446991,145
4,강원특별자치도 강릉시,7823672,402230,468194,674
4,강원특별자치도 동해시,3036198,58968,148486,109
4,강원특별자치도 태백시,1386885,22250,59738,21
