일시,지역명,방문자수,검색건수,관외 이동량,숙박업소 개수,sns
1,강원특별자치도 춘천시,8979957,229813,444582,312,39944.0
1,강원특별자치도 원주시,9530785,199254,482623,133,32109.0
1,강원특별자치도 강릉시,8031760,452294,565563,658,65556.0
1,강원특별자치도 동해시,2946561,64643,167985,101,5425.0
1,강원특별자치도 태백시,1491579,32726,92434,20,13153.0
1,강원특별자치도 속초시,3936966,393337,389982,276,47272.0
1,강원특별자치도 삼척시,2125769,73551,165310,157,12984.0
1,강원특별자치도 홍천군,2496610,135728,272303,243,21173.0
1,강원특별자치도 횡성군,1555292,55217,172222,93,10018.0
1,강원특별자치도 영월군,974984,22211,86133,111,9736.0
1,강원특별자치도 평창군,2588419,208928,272745,242,28975.0
1,강원특별자치도 정선군,1634390,122096,189112,91,14468.0
1,강원특별자치도 철원군,1246379,34211,85264,24,7712.0
1,강원특별자치도 화천군,996882,17916,86317,55,11400.0
1,강원특별자치도 양구군,674136,5592,31360,17,4798.0
1,강원특별자치도 인제군,1291626,29924,94794,72,12210.0
1,강원특별자치도 고성군,1551833,128424,148742,194,19915.0
1,강원특별자치도 양양군,1851478,133503,155292,311,22443.0
2,강원특별자치도 춘천시,8286297,253072,423095,313,47710.0
2,강원특별자치도 원주시,8835746,212746,439045,131,31986.0
2,강원특별자치도 강릉시,7381755,484104,601164,665,64789.0
2,강원특별자치도 동해시,2607679,62865,145285,97,4147.0
2,강원특별자치도 태백시,1288435,24808,72619,20,12585.0
2,강원특별자치도 속초시,3763228,462960,450714,273,48436.0
2,강원특별자치도 삼척시,1905294,77588,153930,156,12321.0
2,강원특별자치도 홍천군,2252995,131038,245118,240,17165.0
2,강원특별자치도 횡성군,1438571,60025,157369,92,8735.0
2,강원특별자치도 영월군,908503,25733,79391,112,9693.0
2,강원특별자치도 평창군,2250357,196575,235226,240,27231.0
2,강원특별자치도 정선군,1499647,121426,180234,91,12969.0
2,강원특별자치도 철원군,1159923,34761,77269,24,6360.0
2,강원특별자치도 화천군,656144,7438,40008,56,4713.0
2,강원특별자치도 양구군,619048,6883,27826,16,3181.0
2,강원특별자치도 인제군,1115318,29659,89194,72,9384.0
2,강원특별자치도 고성군,1494545,149468,167317,196,18232.0
2,강원특별자치도 양양군,1737848,156583,178734,319,19464.0
3,강원특별자치도 춘천시,10030162,276844,512295,313,43601.0
3,강원특별자치도 원주시,10690647,227474,494286,130,35049.0
3,강원특별자치도 강릉시,8434120,402956,531300,668,68719.0
3,강원특별자치도 동해시,2895534,57407,138267,98,4353.0
3,강원특별자치도 태백시,1360107,14606,53465,20,8250.0
3,강원특별자치도 속초시,3695657,322684,311717,276,46976.0
3,강원특별자치도 삼척시,2273493,70462,179910,157,15580.0
3,강원특별자치도 홍천군,2275670,94185,184992,240,16842.0
3,강원특별자치도 횡성군,1491219,48602,138069,93,10013.0
3,강원특별자치도 영월군,1077945,25031,88535,111,10126.0
3,강원특별자치도 평창군,1929804,92445,120457,243,19725.0
3,강원특별자치도 정선군,1404124,73489,115280,96,11747.0
3,강원특별자치도 철원군,1422416,40439,84107,25,7089.0
3,강원특별자치도 화천군,850671,8892,47491,56,4973.0
3,강원특별자치도 양구군,758608,8315,32457,18,4176.0
3,강원특별자치도 인제군,1265258,21022,76229,73,8672.0
3,강원특별자치도 고성군,1563456,113319,132574,194,19518.0
3,강원특별자치도 양양군,1913423,132742,161744,319,21497.0
4,강원특별자치도 춘천시,9020946,333542,443901,339,43841.0
4,강원특별자치도 원주시,9438786,268264,446991,145,36486.0
4,강원특별자치도 강릉시,7823672,402230,468194,674,70269.0
4,강원특별자치도 동해시,3036198,58968,148486,109,4799.0
4,강원특별자치도 태백시,1386885,22250,59738,21,8011.0
4,강원특별자치도 속초시,3934776,367930,342350,286,45081.0
4,강원특별자치도 삼척시,2333215,86329,179828,168,16098.0
4,강원특별자치도 홍천군,2414748,133746,221436,267,17179.0
4,강원특별자치도 횡성군,1571720,57332,157732,105,8644.0
4,강원특별자치도 영월군,1125799,39740,105422,120,9984.0
4,강원특별자치도 평창군,2064878,128606,152943,275,19422.0
4,강원특별자치도 정선군,1400968,85300,127464,103,11322.0
4,강원특별자치도 철원군,1379111,51066,99498,31,6369.0
4,강원특별자치도 화천군,835680,12445,55852,57,5631.0
4,강원특별자치도 양구군,736878,9959,35748,21,4521.0
4,강원특별자치도 인제군,1283085,27700,90450,97,8196.0
4,강원특별자치도 고성군,1609241,131215,155342,215,18589.0
4,강원특별자치도 양양군,2056085,161721,183627,349,21665.0
5,강원특별자치도 춘천시,10161808,364977,510738,339,56218.0
5,강원특별자치도 원주시,10773063,299076,498387,146,41171.0
5,강원특별자치도 강릉시,8667471,451671,554688,674,78430.0
5,강원특별자치도 동해시,3129597,72896,173075,112,5151.0
5,강원특별자치도 태백시,1474205,28458,69191,21,9506.0
5,강원특별자치도 속초시,4117245,416354,401921,290,56298.0
5,강원특별자치도 삼척시,2521327,108069,204663,171,17462.0
5,강원특별자치도 홍천군,2717602,154113,262237,267,20943.0
5,강원특별자치도 횡성군,1792059,71506,186258,105,10723.0
5,강원특별자치도 영월군,1293411,54096,127907,116,13021.0
5,강원특별자치도 평창군,2420523,165430,205632,274,27169.0
5,강원특별자치도 정선군,1636018,114172,159437,104,15358.0
5,강원특별자치도 철원군,1549743,61028,114572,31,7836.0
5,강원특별자치도 화천군,926535,15552,60885,58,5778.0
5,강원특별자치도 양구군,824325,15099,45888,21,5341.0
5,강원특별자치도 인제군,1519774,43668,126545,98,10905.0
5,강원특별자치도 고성군,1810761,151323,183257,215,23209.0
5,강원특별자치도 양양군,2293955,192978,219374,356,30879.0
6,강원특별자치도 춘천시,9784038,359268,622696,350,55709.0
6,강원특별자치도 원주시,10257942,301636,612370,147,42852.0
6,강원특별자치도 강릉시,8620919,490236,741591,680,88410.0
6,강원특별자치도 동해시,3058583,78095,211071,111,5712.0
6,강원특별자치도 태백시,1497506,28188,88263,22,11236.0
6,강원특별자치도 속초시,4215585,451653,518255,293,63227.0
6,강원특별자치도 삼척시,2431209,108531,246044,174,21195.0
6,강원특별자치도 홍천군,2695712,169032,345853,273,23194.0
6,강원특별자치도 횡성군,1759371,79214,236699,109,12159.0
6,강원특별자치도 영월군,1261351,58772,167085,116,14691.0
6,강원특별자치도 평창군,2427738,184564,265312,273,31508.0
6,강원특별자치도 정선군,1558537,110640,197207,102,15453.0
6,강원특별자치도 철원군,1385718,60792,138076,31,8106.0
6,강원특별자치도 화천군,886637,17110,78163,60,5146.0
6,강원특별자치도 양구군,798602,13394,53410,21,5410.0
6,강원특별자치도 인제군,1505903,43059,161509,100,12171.0
6,강원특별자치도 고성군,1867225,182967,264911,221,27269.0
6,강원특별자치도 양양군,2349342,229304,304840,363,40510.0
7,강원특별자치도 춘천시,9730577,348303,488511,356,55814.0
7,강원특별자치도 원주시,10487323,297097,521019,150,42557.0
7,강원특별자치도 강릉시,8874142,553646,652368,704,90145.0
7,강원특별자치도 동해시,3262186,72228,192338,113,5972.0
7,강원특별자치도 태백시,1624815,39110,96462,22,11991.0
7,강원특별자치도 속초시,4634845,476335,470245,295,72894.0
7,강원특별자치도 삼척시,2593341,120460,227778,177,25336.0
7,강원특별자치도 홍천군,2969209,193348,326408,272,23999.0
7,강원특별자치도 횡성군,1917632,93260,215237,107,14061.0
7,강원특별자치도 영월군,1352503,69841,140503,117,15627.0
7,강원특별자치도 평창군,2738199,230979,257508,274,33512.0
7,강원특별자치도 정선군,1763096,140859,188985,104,16667.0
7,강원특별자치도 철원군,1408779,55394,104219,31,7608.0
7,강원특별자치도 화천군,974341,18125,65829,59,6217.0
7,강원특별자치도 양구군,814114,12673,44545,22,6247.0
7,강원특별자치도 인제군,1650684,56220,148422,101,13410.0
7,강원특별자치도 고성군,2131199,227540,245572,226,29320.0
7,강원특별자치도 양양군,2636312,296822,292616,370,44129.0
8,강원특별자치도 춘천시,9891462,396759,607118,360,59861.0
8,강원특별자치도 원주시,10519686,330934,585946,149,47522.0
8,강원특별자치도 강릉시,9230127,712664,870031,718,109774.0
8,강원특별자치도 동해시,3338521,128803,246237,115,9180.0
8,강원특별자치도 태백시,1679957,62908,126094,22,14248.0
8,강원특별자치도 속초시,5053362,710853,678716,294,87117.0
8,강원특별자치도 삼척시,2751270,195660,316104,177,28760.0
8,강원특별자치도 홍천군,3213275,218486,427359,275,27108.0
8,강원특별자치도 횡성군,2092457,118032,274499,109,14587.0
8,강원특별자치도 영월군,1531711,103655,207510,122,19198.0
8,강원특별자치도 평창군,3093298,300631,374026,268,40242.0
8,강원특별자치도 정선군,1931138,187646,266390,106,19997.0
8,강원특별자치도 철원군,1477416,69520,129975,31,7751.0
8,강원특별자치도 화천군,1213371,23901,81941,58,7453.0
8,강원특별자치도 양구군,815529,17730,53108,22,5196.0
8,강원특별자치도 인제군,1870892,74884,229309,102,16597.0
8,강원특별자치도 고성군,2326749,292919,337829,229,40237.0
8,강원특별자치도 양양군,2908661,393777,427215,380,52990.0
9,강원특별자치도 춘천시,9862210,359889,643778,362,49171.0
9,강원특별자치도 원주시,10659003,292689,622679,149,46248.0
9,강원특별자치도 강릉시,8443099,481656,659001,720,84259.0
9,강원특별자치도 동해시,3085581,83422,189355,117,8671.0
9,강원특별자치도 태백시,1553469,35709,94009,22,10420.0
9,강원특별자치도 속초시,4177187,419399,414676,292,62896.0
9,강원특별자치도 삼척시,2530676,122861,241662,178,20315.0
9,강원특별자치도 홍천군,2787885,157826,306412,279,21365.0
9,강원특별자치도 횡성군,1830914,86798,214302,109,12874.0
9,강원특별자치도 영월군,1299626,67350,153718,120,14864.0
9,강원특별자치도 평창군,2552777,219934,261347,269,31307.0
9,강원특별자치도 정선군,1643484,123111,181029,107,14406.0
9,강원특별자치도 철원군,1523445,90548,146848,32,8416.0
9,강원특별자치도 화천군,971726,17862,71804,58,4610.0
9,강원특별자치도 양구군,848037,16248,53350,22,4510.0
9,강원특별자치도 인제군,1587484,49500,154253,103,12063.0
9,강원특별자치도 고성군,1883111,189707,207021,230,25586.0
9,강원특별자치도 양양군,2265427,226317,245053,383,35435.0
10,강원특별자치도 춘천시,10110643,412576,554634,362,52818.0
10,강원특별자치도 원주시,10872565,346530,537169,152,42910.0
10,강원특별자치도 강릉시,8668725,499339,576469,728,81526.0
10,강원특별자치도 동해시,3197497,85760,169528,116,6032.0
10,강원특별자치도 태백시,1583625,37557,77139,22,10204.0
10,강원특별자치도 속초시,4724839,488469,458858,296,64749.0
10,강원특별자치도 삼척시,2472768,116636,194563,178,19082.0
10,강원특별자치도 홍천군,2841340,179178,283934,279,24791.0
10,강원특별자치도 횡성군,1948573,96585,209619,108,13628.0
10,강원특별자치도 영월군,1357705,81402,138000,119,16083.0
10,강원특별자치도 평창군,2761627,256648,262422,267,33635.0
10,강원특별자치도 정선군,1724301,134033,175022,107,19034.0
10,강원특별자치도 철원군,1761235,134477,156706,33,9787.0
10,강원특별자치도 화천군,949267,18252,63299,57,5463.0
10,강원특별자치도 양구군,833814,17607,46305,22,5238.0
10,강원특별자치도 인제군,1949641,83432,178792,104,17243.0
