지역명,일시,관외 이동량
부산광역시 강서구,1,888559
부산광역시 금정구,1,612863
부산광역시 기장군,1,708384
부산광역시 남구,1,594546
부산광역시 동구,1,505623
부산광역시 동래구,1,833088
부산광역시 부산광역시진구,1,1438150
부산광역시 북구,1,437400
부산광역시 사상구,1,683845
부산광역시 사하구,1,485678
부산광역시 서구,1,375658
부산광역시 수영구,1,725978
부산광역시 연제구,1,743201
부산광역시 영도구,1,243947
부산광역시 중구,1,593333
부산광역시 해운대구광역시,1,1220204
대구광역시 남구,1,511110
대구광역시 달서구,1,1222462
대구광역시 달성군,1,640560
대구광역시 동구,1,1048590
대구광역시 북구,1,1002653
대구광역시 서구,1,520249
대구광역시 수성구,1,1057887
대구광역시 군위군,1,0
대구광역시 중구,1,1191304
광주광역시 광산구,1,991625
광주광역시 남구,1,477221
광주광역시 동구,1,674637
광주광역시 북구,1,979443
광주광역시 서구,1,1094926
대전광역시 대덕구,1,481540
대전광역시 동구,1,654988
대전광역시 서구,1,1198868
대전광역시 유성구,1,1057945
대전광역시 중구,1,760457
울산광역시 남구,1,1055144
울산광역시 동구,1,275521
울산광역시 북구,1,604925
울산광역시 울주군,1,688870
울산광역시 중구,1,449007
세종특별자치시,1,574848
강원특별자치도 강릉시,1,565563
강원특별자치도 고성군,1,148742
강원특별자치도 동해시,1,167985
강원특별자치도 삼척시,1,165310
강원특별자치도 속초시,1,389982
강원특별자치도 양구군,1,31360
강원특별자치도 양양군,1,155292
강원특별자치도 영월군,1,86133
강원특별자치도 원주시,1,482623
강원특별자치도 인제군,1,94794
강원특별자치도 정선군,1,189112
강원특별자치도 철원군,1,85264
강원특별자치도 춘천시,1,444582
강원특별자치도 태백시,1,92434
강원특별자치도 평창군,1,272745
강원특별자치도 홍천군,1,272303
강원특별자치도 화천군,1,86317
강원특별자치도 횡성군,1,172222
충청북도 괴산군,1,133919
충청북도 단양군,1,101135
충청북도 보은군,1,81343
충청북도 영동군,1,87658
충청북도 옥천군,1,132872
충청북도 음성군,1,277114
충청북도 제천시,1,244669
충청북도 증평군,1,81389
충청북도 진천군,1,216619
충청북도 청주시 상당구,1,526147
충청북도 청주시 서원구,1,511490
충청북도 청주시 청원구,1,500541
충청북도 청주시 흥덕구,1,851890
충청북도 충주시,1,318217
충청남도 계룡시,1,86327
충청남도 공주시,1,375022
충청남도 금산군,1,165271
충청남도 논산시,1,259701
충청남도 당진시,1,316687
충청남도 보령시,1,231164
충청남도 부여군,1,143071
충청남도 서산시,1,264252
충청남도 서천군,1,133310
충청남도 아산시,1,705135
충청남도 예산군,1,240046
충청남도 천안시 동남구,1,716164
충청남도 천안시 서북구,1,908231
충청남도 청양군,1,94012
충청남도 태안군,1,156480
충청남도 홍성군,1,192950
전북특별자치도 고창군,1,117373
전북특별자치도 군산시,1,378439
전북특별자치도 김제시,1,222334
전북특별자치도 남원시,1,168529
전북특별자치도 무주군,1,161472
전북특별자치도 부안군,1,138397
전북특별자치도 순창군,1,65923
전북특별자치도 완주군,1,392726
전북특별자치도 익산시,1,409529
전북특별자치도 임실군,1,94101
전북특별자치도 장수군,1,43140
전북특별자치도 전주시 덕진구,1,796559
전북특별자치도 전주시 완산구,1,800920
전북특별자치도 정읍시,1,192518
전북특별자치도 진안군,1,65628
전라남도 강진군,1,85097
전라남도 고흥군,1,132906
전라남도 곡성군,1,81850
전라남도 광양시,1,293658
전라남도 구례군,1,73608
전라남도 나주시,1,290576
전라남도 담양군,1,225894
전라남도 목포시,1,478343
전라남도 무안군,1,269447
전라남도 보성군,1,120241
전라남도 순천시,1,458853
전라남도 신안군,1,83258
전라남도 여수시,1,552767
전라남도 영광군,1,117435
전라남도 영암군,1,177476
전라남도 완도군,1,89286
전라남도 장성군,1,142028
전라남도 장흥군,1,80006
전라남도 진도군,1,83047
전라남도 함평군,1,100634
전라남도 해남군,1,149311
전라남도 화순군,1,177027
경상북도 경산시,1,566117
경상북도 경주시,1,814516
경상북도 고령군,1,110003
경상북도 구미시,1,555667
경상북도 김천시,1,251009
경상북도 문경시,1,177780
경상북도 봉화군,1,68773
경상북도 상주시,1,204963
경상북도 성주군,1,150586
경상북도 안동시,1,286116
경상북도 영덕군,1,136511
경상북도 영양군,1,26913
경상북도 영주시,1,161361
경상북도 영천시,1,252619
경상북도 예천군,1,111524
경상북도 울릉군,1,5636
경상북도 울진군,1,128360
경상북도 의성군,1,109000
경상북도 청도군,1,178655
경상북도 청송군,1,67430
경상북도 칠곡군,1,393584
경상북도 포항시 남구,1,678370
경상북도 포항시 북구,1,629092
경상남도 거제시,1,355875
경상남도 거창군,1,103520
경상북도 군위군,1,107049
경상남도 고성군,1,161873
경상남도 김해시,1,865498
경상남도 남해군,1,139776
경상남도 밀양시,1,240337
경상남도 사천시,1,291633
경상남도 산청군,1,123509
경상남도 양산시,1,675763
경상남도 의령군,1,71188
경상남도 진주시,1,487058
경상남도 창녕군,1,179450
경상남도 창원시 마산합포구,1,497432
경상남도 창원시 마산회원구,1,477305
경상남도 창원시 성산구,1,803433
경상남도 창원시 의창구,1,773627
경상남도 창원시 진해구,1,349600
경상남도 통영시,1,292138
경상남도 하동군,1,120241
경상남도 함안군,1,238889
경상남도 함양군,1,81821
경상남도 합천군,1,103925
제주특별자치도 서귀포시,1,887660
제주특별자치도 제주시,1,1149500
부산광역시 강서구,2,947068
부산광역시 금정구,2,611214
부산광역시 기장군,2,714354
부산광역시 남구,2,585066
부산광역시 동구,2,541037
부산광역시 동래구,2,800077
부산광역시 부산광역시진구,2,1478578
