일시,방문자 수,지역명
1,1452663.0,강원특별자치도 고성군
1,9024519.0,강원특별자치도 춘천시
1,9956163.0,강원특별자치도 원주시
1,8218107.0,강원특별자치도 강릉시
1,2874821.0,강원특별자치도 동해시
1,1546059.0,강원특별자치도 태백시
1,3922435.0,강원특별자치도 속초시
1,2118600.0,강원특별자치도 삼척시
1,2500050.0,강원특별자치도 홍천군
1,1573054.0,강원특별자치도 횡성군
1,977559.0,강원특별자치도 영월군
1,2640901.0,강원특별자치도 평창군
1,1640608.0,강원특별자치도 정선군
1,1171867.0,강원특별자치도 철원군
1,973848.0,강원특별자치도 화천군
1,672380.0,강원특별자치도 양구군
1,1158639.0,강원특별자치도 인제군
1,1769662.0,강원특별자치도 양양군
1,12400000.0,경기도 고양시 덕양구
1,10000000.0,경기도 고양시 일산동구
1,7688315.0,경기도 고양시 일산서구
1,6750836.0,경기도 성남시 수정구
1,4415157.0,경기도 성남시 중원구
1,18400000.0,경기도 성남시 분당구
1,7658798.0,경기도 수원시 장안구
1,7982030.0,경기도 수원시 권선구
1,8982205.0,경기도 수원시 팔달구
1,10400000.0,경기도 수원시 영통구
1,5592240.0,경기도 안산시 상록구
1,10900000.0,경기도 의정부시
1,9795778.0,경기도 안산시 단원구
1,5578209.0,경기도 안양시 만안구
1,0.0,경기도 부천시
1,6987097.0,경기도 광명시
1,13700000.0,경기도 평택시
1,2346633.0,경기도 동두천시
1,8401208.0,경기도 안양시 동안구
1,7957786.0,경기도 용인시 처인구
1,11500000.0,경기도 용인시 기흥구
1,8134368.0,경기도 용인시 수지구
1,3245332.0,경기도 과천시
1,7350838.0,경기도 구리시
1,15800000.0,경기도 남양주시
1,6055814.0,경기도 오산시
1,10500000.0,경기도 시흥시
1,6500650.0,경기도 군포시
1,4186882.0,경기도 의왕시
1,9742785.0,경기도 하남시
1,11200000.0,경기도 파주시
1,6874981.0,경기도 이천시
1,6039290.0,경기도 안성시
1,12300000.0,경기도 김포시
1,22200000.0,경기도 화성시
1,9892089.0,경기도 광주시
1,7024978.0,경기도 양주시
1,4280611.0,경기도 포천시
1,3829887.0,경기도 여주시
1,1386396.0,경기도 연천군
1,2638016.0,경기도 가평군
1,3994872.0,경기도 양평군
1,13000000.0,경기도 부천시 원미구
1,4591163.0,경기도 부천시 소사구
1,3584125.0,경기도 부천시 오정구
1,1542439.0,경상남도 고성군
1,6288712.0,경상남도 창원시 의창구
1,7590037.0,경상남도 창원시 성산구
1,5195874.0,경상남도 창원시 마산합포구
1,4555931.0,경상남도 창원시 마산회원구
1,4050208.0,경상남도 창원시 진해구
1,6813666.0,경상남도 진주시
1,3490520.0,경상남도 통영시
1,2896165.0,경상남도 사천시
1,12200000.0,경상남도 김해시
1,2988700.0,경상남도 밀양시
1,8816828.0,경상남도 거제시
1,8877235.0,경상남도 양산시
1,776759.0,경상남도 의령군
1,1766296.0,경상남도 함안군
1,1684693.0,경상남도 창녕군
1,1317832.0,경상남도 남해군
1,956080.0,경상남도 하동군
1,893181.0,경상남도 산청군
1,1086998.0,경상남도 함양군
1,1554901.0,경상남도 거창군
1,1072144.0,경상남도 합천군
1,8584009.0,경상북도 경주시
1,3237868.0,경상북도 김천시
1,4720589.0,경상북도 안동시
1,8450691.0,경상북도 구미시
1,2717605.0,경상북도 영주시
1,2284638.0,경상북도 영천시
1,2596331.0,경상북도 상주시
1,1665873.0,경상북도 문경시
1,5419210.0,경상북도 경산시
1,1239130.0,경상북도 의성군
1,772556.0,경상북도 청송군
1,329110.0,경상북도 영양군
1,1580316.0,경상북도 영덕군
1,1235530.0,경상북도 청도군
1,841927.0,경상북도 고령군
1,1247143.0,경상북도 성주군
1,3088122.0,경상북도 칠곡군
1,1386824.0,경상북도 예천군
1,593655.0,경상북도 봉화군
1,1599520.0,경상북도 울진군
1,222728.0,경상북도 울릉군
1,6195649.0,경상북도 포항시 남구
1,7552146.0,경상북도 포항시 북구
1,3437918.0,광주광역시 남구
1,4813074.0,광주광역시 동구
1,10500000.0,광주광역시 북구
1,10600000.0,광주광역시 광산구
1,9186424.0,광주광역시 서구
1,808139.0,대구광역시 군위군
1,4216588.0,대구광역시 남구
1,10500000.0,대구광역시 동구
1,10800000.0,대구광역시 수성구
1,13500000.0,대구광역시 달서구
1,5342914.0,대구광역시 달성군
1,11500000.0,대구광역시 북구
1,3498856.0,대구광역시 서구
1,7641080.0,대구광역시 중구
1,5462684.0,대전광역시 동구
1,12000000.0,대전광역시 유성구
1,4106316.0,대전광역시 대덕구
1,13100000.0,대전광역시 서구
1,6605825.0,대전광역시 중구
1,5873951.0,부산광역시 강서구
1,3415141.0,부산광역시 영도구
1,12400000.0,부산광역시 부산진구
1,7065232.0,부산광역시 동래구
1,12900000.0,부산광역시 해운대구
1,6007177.0,부산광역시 사하구
1,5927023.0,부산광역시 금정구
1,6489177.0,부산광역시 남구
1,4269806.0,부산광역시 연제구
1,5664181.0,부산광역시 수영구
1,5019281.0,부산광역시 사상구
1,6065010.0,부산광역시 기장군
1,4203661.0,부산광역시 동구
1,6616798.0,부산광역시 북구
1,3258019.0,부산광역시 서구
1,4530850.0,부산광역시 중구
1,16000000.0,서울특별시 종로구
1,13900000.0,서울특별시 강서구
1,12800000.0,서울특별시 용산구
1,9346984.0,서울특별시 성동구
1,11700000.0,서울특별시 광진구
1,9666729.0,서울특별시 동대문구
1,8341039.0,서울특별시 중랑구
1,10700000.0,서울특별시 성북구
1,6649322.0,서울특별시 강북구
1,6277157.0,서울특별시 도봉구
1,13700000.0,서울특별시 노원구
1,8251091.0,서울특별시 은평구
1,11900000.0,서울특별시 서대문구
1,17900000.0,서울특별시 마포구
1,8112131.0,서울특별시 양천구
1,10700000.0,서울특별시 구로구
1,5048064.0,서울특별시 금천구
1,17500000.0,서울특별시 영등포구
1,9655126.0,서울특별시 동작구
1,11200000.0,서울특별시 관악구
1,23600000.0,서울특별시 서초구
1,35400000.0,서울특별시 강남구
1,22900000.0,서울특별시 송파구
1,11300000.0,서울특별시 강동구
1,17100000.0,서울특별시 중구
1,8530972.0,세종특별자치시 세종특별자치시
1,9681349.0,울산광역시 남구
1,3698663.0,울산광역시 동구
1,5384162.0,울산광역시 북구
1,6607721.0,울산광역시 울주군
1,5069626.0,울산광역시 중구
1,1488089.0,인천광역시 동구
1,9211276.0,인천광역시 미추홀구
1,10500000.0,인천광역시 연수구
1,10900000.0,인천광역시 남동구
1,10300000.0,인천광역시 부평구
1,5780771.0,인천광역시 계양구
1,2687172.0,인천광역시 강화군
1,618660.0,인천광역시 옹진군
1,14500000.0,인천광역시 서구
1,12400000.0,인천광역시 중구
1,7531005.0,전라남도 목포시
1,6833289.0,전라남도 여수시
1,7008275.0,전라남도 순천시
1,3334719.0,전라남도 나주시
1,3311795.0,전라남도 광양시
1,1917414.0,전라남도 담양군
1,681824.0,전라남도 곡성군
1,746805.0,전라남도 구례군
1,1257139.0,전라남도 고흥군
1,1064519.0,전라남도 보성군
1,2094375.0,전라남도 화순군
1,1132013.0,전라남도 장흥군
1,1055206.0,전라남도 강진군
1,1620896.0,전라남도 해남군
1,1706546.0,전라남도 영암군
1,2717138.0,전라남도 무안군
1,719052.0,전라남도 함평군
1,1526043.0,전라남도 영광군
1,1293797.0,전라남도 장성군
1,1493233.0,전라남도 완도군
1,917305.0,전라남도 진도군
1,1020476.0,전라남도 신안군
1,9297560.0,전북특별자치도 전주시 완산구
1,8289642.0,전북특별자치도 전주시 덕진구
1,7722586.0,전북특별자치도 군산시
1,7626234.0,전북특별자치도 익산시
1,2576694.0,전북특별자치도 정읍시
1,2224915.0,전북특별자치도 남원시
1,2065946.0,전북특별자치도 김제시
1,2808945.0,전북특별자치도 완주군
1,555806.0,전북특별자치도 진안군
1,1359905.0,전북특별자치도 무주군
1,446237.0,전북특별자치도 장수군
1,809787.0,전북특별자치도 임실군
1,577363.0,전북특별자치도 순창군
1,1446689.0,전북특별자치도 고창군
1,1603071.0,전북특별자치도 부안군
1,19000000.0,제주특별자치도 제주시
1,8276173.0,제주특별자치도 서귀포시
1,3079224.0,충청남도 공주시
1,3480415.0,충청남도 보령시
1,8279957.0,충청남도 아산시
1,4400489.0,충청남도 서산시
1,3276456.0,충청남도 논산시
1,1185000.0,충청남도 계룡시
1,5024426.0,충청남도 당진시
1,1791832.0,충청남도 금산군
1,2124732.0,충청남도 부여군
1,1818732.0,충청남도 서천군
1,851083.0,충청남도 청양군
1,2631834.0,충청남도 홍성군
1,2607136.0,충청남도 예산군
1,2442154.0,충청남도 태안군
1,7219320.0,충청남도 천안시 동남구
