일시,지역명,검색건수
03,충청북도 괴산군,20229
04,충청북도 괴산군,26522
06,충청북도 괴산군,34975
07,충청북도 괴산군,36455
09,충청북도 괴산군,39671
05,충청북도 괴산군,29203
08,충청북도 괴산군,56424
01,충청북도 괴산군,14254
02,충청북도 괴산군,15325
10,충청북도 괴산군,59410
11,충청북도 괴산군,31698
12,충청북도 괴산군,16084
03,충청북도 단양군,58394
04,충청북도 단양군,92882
06,충청북도 단양군,106414
07,충청북도 단양군,94131
09,충청북도 단양군,107003
05,충청북도 단양군,101057
08,충청북도 단양군,139094
01,충청북도 단양군,45133
02,충청북도 단양군,62972
10,충청북도 단양군,169468
11,충청북도 단양군,96021
12,충청북도 단양군,43431
03,충청북도 보은군,21955
04,충청북도 보은군,27807
06,충청북도 보은군,27769
07,충청북도 보은군,22819
09,충청북도 보은군,31344
05,충청북도 보은군,30123
08,충청북도 보은군,31161
01,충청북도 보은군,11287
02,충청북도 보은군,15346
10,충청북도 보은군,67711
11,충청북도 보은군,32241
12,충청북도 보은군,14639
03,충청북도 영동군,15038
04,충청북도 영동군,16372
06,충청북도 영동군,19248
07,충청북도 영동군,16607
09,충청북도 영동군,24156
05,충청북도 영동군,18957
08,충청북도 영동군,25578
01,충청북도 영동군,10743
02,충청북도 영동군,10621
10,충청북도 영동군,25175
11,충청북도 영동군,17436
12,충청북도 영동군,12144
03,충청북도 옥천군,30323
04,충청북도 옥천군,37757
06,충청북도 옥천군,30168
07,충청북도 옥천군,24104
09,충청북도 옥천군,32719
05,충청북도 옥천군,34674
08,충청북도 옥천군,28050
01,충청북도 옥천군,16889
02,충청북도 옥천군,17092
10,충청북도 옥천군,39721
11,충청북도 옥천군,28055
12,충청북도 옥천군,17561
03,충청북도 음성군,70538
04,충청북도 음성군,72225
06,충청북도 음성군,79262
07,충청북도 음성군,70199
09,충청북도 음성군,93182
05,충청북도 음성군,78947
08,충청북도 음성군,78733
01,충청북도 음성군,36462
02,충청북도 음성군,48109
10,충청북도 음성군,91993
11,충청북도 음성군,76674
12,충청북도 음성군,50880
03,충청북도 제천시,103525
04,충청북도 제천시,129861
06,충청북도 제천시,133969
07,충청북도 제천시,134615
09,충청북도 제천시,147204
05,충청북도 제천시,133723
08,충청북도 제천시,179544
01,충청북도 제천시,81117
02,충청북도 제천시,92955
10,충청북도 제천시,195889
11,충청북도 제천시,133402
12,충청북도 제천시,98343
03,충청북도 증평군,24306
04,충청북도 증평군,27090
06,충청북도 증평군,27867
07,충청북도 증평군,23543
09,충청북도 증평군,30208
05,충청북도 증평군,29203
08,충청북도 증평군,28442
01,충청북도 증평군,16655
02,충청북도 증평군,19446
10,충청북도 증평군,34842
11,충청북도 증평군,24101
12,충청북도 증평군,21978
03,충청북도 진천군,71404
04,충청북도 진천군,82922
06,충청북도 진천군,80352
07,충청북도 진천군,67190
09,충청북도 진천군,81036
05,충청북도 진천군,84387
08,충청북도 진천군,74663
01,충청북도 진천군,36105
02,충청북도 진천군,46413
10,충청북도 진천군,87162
11,충청북도 진천군,68401
12,충청북도 진천군,49111
03,충청북도 청주시 상당구,118516
04,충청북도 청주시 상당구,126322
06,충청북도 청주시 상당구,121741
07,충청북도 청주시 상당구,109820
09,충청북도 청주시 상당구,133867
05,충청북도 청주시 상당구,125127
08,충청북도 청주시 상당구,123066
01,충청북도 청주시 상당구,86914
02,충청북도 청주시 상당구,92754
10,충청북도 청주시 상당구,165888
11,충청북도 청주시 상당구,115346
12,충청북도 청주시 상당구,106244
03,충청북도 청주시 서원구,76924
04,충청북도 청주시 서원구,76570
06,충청북도 청주시 서원구,75926
07,충청북도 청주시 서원구,77748
09,충청북도 청주시 서원구,79666
05,충청북도 청주시 서원구,80966
08,충청북도 청주시 서원구,80846
01,충청북도 청주시 서원구,65174
02,충청북도 청주시 서원구,67445
10,충청북도 청주시 서원구,78481
11,충청북도 청주시 서원구,72871
12,충청북도 청주시 서원구,91744
03,충청북도 청주시 청원구,140211
04,충청북도 청주시 청원구,147083
06,충청북도 청주시 청원구,154144
07,충청북도 청주시 청원구,151171
09,충청북도 청주시 청원구,160638
05,충청북도 청주시 청원구,153982
08,충청북도 청주시 청원구,157247
01,충청북도 청주시 청원구,119326
02,충청북도 청주시 청원구,123315
10,충청북도 청주시 청원구,171696
11,충청북도 청주시 청원구,144146
12,충청북도 청주시 청원구,156007
03,충청북도 청주시 흥덕구,228742
04,충청북도 청주시 흥덕구,236026
06,충청북도 청주시 흥덕구,235101
07,충청북도 청주시 흥덕구,239236
09,충청북도 청주시 흥덕구,239673
05,충청북도 청주시 흥덕구,241647
08,충청북도 청주시 흥덕구,241201
01,충청북도 청주시 흥덕구,204530
02,충청북도 청주시 흥덕구,207584
10,충청북도 청주시 흥덕구,243429
11,충청북도 청주시 흥덕구,239043
12,충청북도 청주시 흥덕구,248942
03,충청북도 충주시,179171
04,충청북도 충주시,202450
06,충청북도 충주시,209222
07,충청북도 충주시,191220
09,충청북도 충주시,219880
05,충청북도 충주시,210382
08,충청북도 충주시,226815
01,충청북도 충주시,108862
02,충청북도 충주시,135467
10,충청북도 충주시,246756
11,충청북도 충주시,192616
12,충청북도 충주시,142321
03,충청남도 계룡시,20020
04,충청남도 계룡시,20858
06,충청남도 계룡시,22285
07,충청남도 계룡시,21198
09,충청남도 계룡시,23812
05,충청남도 계룡시,21690
08,충청남도 계룡시,20969
01,충청남도 계룡시,17070
02,충청남도 계룡시,17965
10,충청남도 계룡시,30993
11,충청남도 계룡시,22761
12,충청남도 계룡시,21361
03,충청남도 공주시,128360
04,충청남도 공주시,146599
06,충청남도 공주시,167662
07,충청남도 공주시,125719
09,충청남도 공주시,165205
05,충청남도 공주시,144976
08,충청남도 공주시,142581
01,충청남도 공주시,94888
02,충청남도 공주시,102872
10,충청남도 공주시,189765
11,충청남도 공주시,122289
12,충청남도 공주시,99691
03,충청남도 금산군,24619
04,충청남도 금산군,27965
06,충청남도 금산군,29261
07,충청남도 금산군,26851
09,충청남도 금산군,35152
05,충청남도 금산군,28385
08,충청남도 금산군,33636
01,충청남도 금산군,18230
02,충청남도 금산군,18129
10,충청남도 금산군,45054
11,충청남도 금산군,24523
12,충청남도 금산군,17249
03,충청남도 논산시,86896
04,충청남도 논산시,67040
06,충청남도 논산시,67263
07,충청남도 논산시,63350
09,충청남도 논산시,79407
05,충청남도 논산시,70633
08,충청남도 논산시,75102
01,충청남도 논산시,57355
02,충청남도 논산시,58905
10,충청남도 논산시,87029
11,충청남도 논산시,65125
12,충청남도 논산시,60868
03,충청남도 당진시,154085
04,충청남도 당진시,173249
06,충청남도 당진시,160181
07,충청남도 당진시,141087
09,충청남도 당진시,180290
05,충청남도 당진시,159908
08,충청남도 당진시,159479
01,충청남도 당진시,103235
02,충청남도 당진시,114742
10,충청남도 당진시,187508
11,충청남도 당진시,132858
12,충청남도 당진시,125727
03,충청남도 보령시,117558
04,충청남도 보령시,123251
06,충청남도 보령시,138306
07,충청남도 보령시,133806
