일시,검색량(건),지역
01,20451,부산광역시 강서구
02,20167,부산광역시 강서구
03,23850,부산광역시 강서구
04,23863,부산광역시 강서구
05,25665,부산광역시 강서구
06,24322,부산광역시 강서구
07,25458,부산광역시 강서구
08,26310,부산광역시 강서구
09,24930,부산광역시 강서구
10,28781,부산광역시 강서구
11,23803,부산광역시 강서구
12,27869,부산광역시 강서구
01,19642,부산광역시 금정구
02,18829,부산광역시 금정구
03,21331,부산광역시 금정구
04,22351,부산광역시 금정구
05,23423,부산광역시 금정구
06,26700,부산광역시 금정구
07,21165,부산광역시 금정구
08,23087,부산광역시 금정구
09,21737,부산광역시 금정구
10,24091,부산광역시 금정구
11,23238,부산광역시 금정구
12,20237,부산광역시 금정구
01,53838,부산광역시 기장군
02,51581,부산광역시 기장군
03,55965,부산광역시 기장군
04,52790,부산광역시 기장군
05,61043,부산광역시 기장군
06,58704,부산광역시 기장군
07,64194,부산광역시 기장군
08,72405,부산광역시 기장군
09,62734,부산광역시 기장군
10,65703,부산광역시 기장군
11,57818,부산광역시 기장군
12,61738,부산광역시 기장군
01,22101,부산광역시 남구
02,23352,부산광역시 남구
03,25529,부산광역시 남구
04,24442,부산광역시 남구
05,27122,부산광역시 남구
06,26663,부산광역시 남구
07,27316,부산광역시 남구
08,28963,부산광역시 남구
09,25474,부산광역시 남구
10,26419,부산광역시 남구
11,27224,부산광역시 남구
12,28063,부산광역시 남구
01,18574,부산광역시 동구
02,18484,부산광역시 동구
03,17900,부산광역시 동구
04,17225,부산광역시 동구
05,22297,부산광역시 동구
06,19753,부산광역시 동구
07,21822,부산광역시 동구
08,24692,부산광역시 동구
09,21412,부산광역시 동구
10,21901,부산광역시 동구
11,19812,부산광역시 동구
12,21673,부산광역시 동구
01,29855,부산광역시 동래구
02,29415,부산광역시 동래구
03,35198,부산광역시 동래구
04,36642,부산광역시 동래구
05,37232,부산광역시 동래구
06,39038,부산광역시 동래구
07,37007,부산광역시 동래구
08,38607,부산광역시 동래구
09,34622,부산광역시 동래구
10,36587,부산광역시 동래구
11,37117,부산광역시 동래구
12,36963,부산광역시 동래구
01,57553,부산광역시 부산진구
02,55411,부산광역시 부산진구
03,60372,부산광역시 부산진구
04,60395,부산광역시 부산진구
05,83612,부산광역시 부산진구
06,88201,부산광역시 부산진구
07,93561,부산광역시 부산진구
08,90726,부산광역시 부산진구
09,78942,부산광역시 부산진구
10,75337,부산광역시 부산진구
11,79621,부산광역시 부산진구
12,78417,부산광역시 부산진구
01,16256,부산광역시 북구
02,15339,부산광역시 북구
03,17213,부산광역시 북구
04,17635,부산광역시 북구
05,21580,부산광역시 북구
06,,부산광역시 북구20033
07,,부산광역시 북구19543
08,23881,부산광역시 북구
09,19754,부산광역시 북구
10,20296,부산광역시 북구
11,19574,부산광역시 북구
12,23356,부산광역시 북구
01,27436,부산광역시 사상구
02,28567,부산광역시 사상구
03,29150,부산광역시 사상구
04,27458,부산광역시 사상구
05,28714,부산광역시 사상구
06,28640,부산광역시 사상구
07,30008,부산광역시 사상구
08,30741,부산광역시 사상구
09,28848,부산광역시 사상구
10,30741,부산광역시 사상구
11,29474,부산광역시 사상구
12,30649,부산광역시 사상구
01,14727,부산광역시 사하구
02,15578,부산광역시 사하구
03,16531,부산광역시 사하구
04,15813,부산광역시 사하구
05,17634,부산광역시 사하구
06,18402,부산광역시 사하구
07,17583,부산광역시 사하구
08,20524,부산광역시 사하구
09,19043,부산광역시 사하구
10,18500,부산광역시 사하구
11,19141,부산광역시 사하구
12,20796,부산광역시 사하구
01,12819,부산광역시 서구
02,14014,부산광역시 서구
03,15199,부산광역시 서구
04,14213,부산광역시 서구
05,15182,부산광역시 서구
06,16258,부산광역시 서구
07,16340,부산광역시 서구
08,18422,부산광역시 서구
09,15432,부산광역시 서구
10,15638,부산광역시 서구
11,16388,부산광역시 서구
12,18186,부산광역시 서구
01,83334,부산광역시 수영구
02,83315,부산광역시 수영구
03,87109,부산광역시 수영구
04,83888,부산광역시 수영구
05,100448,부산광역시 수영구
06,111564,부산광역시 수영구
07,132872,부산광역시 수영구
08,162406,부산광역시 수영구
09,120914,부산광역시 수영구
10,111744,부산광역시 수영구
11,102564,부산광역시 수영구
12,113298,부산광역시 수영구
01,17868,부산광역시 연제구
02,17154,부산광역시 연제구
03,21289,부산광역시 연제구
04,22975,부산광역시 연제구
05,24539,부산광역시 연제구
06,24203,부산광역시 연제구
07,24430,부산광역시 연제구
08,27233,부산광역시 연제구
09,24480,부산광역시 연제구
10,27359,부산광역시 연제구
11,29172,부산광역시 연제구
12,30175,부산광역시 연제구
01,24810,부산광역시 영도구
02,22155,부산광역시 영도구
03,24480,부산광역시 영도구
04,24134,부산광역시 영도구
05,30982,부산광역시 영도구
06,29234,부산광역시 영도구
07,26723,부산광역시 영도구
08,31114,부산광역시 영도구
09,26390,부산광역시 영도구
10,27649,부산광역시 영도구
11,24486,부산광역시 영도구
12,23382,부산광역시 영도구
01,29526,부산광역시 중구
02,28863,부산광역시 중구
03,27619,부산광역시 중구
04,26254,부산광역시 중구
05,30139,부산광역시 중구
06,31664,부산광역시 중구
07,31514,부산광역시 중구
08,35959,부산광역시 중구
09,31137,부산광역시 중구
10,31982,부산광역시 중구
11,31725,부산광역시 중구
12,37073,부산광역시 중구
01,123448,부산광역시 해운대구
02,124488,부산광역시 해운대구
03,122858,부산광역시 해운대구
04,112031,부산광역시 해운대구
05,131750,부산광역시 해운대구
06,136277,부산광역시 해운대구
07,141523,부산광역시 해운대구
08,167047,부산광역시 해운대구
09,125837,부산광역시 해운대구
10,134178,부산광역시 해운대구
11,119938,부산광역시 해운대구
12,128295,부산광역시 해운대구
01,4329,대구광역시 군위군
02,3508,대구광역시 군위군
03,4055,대구광역시 군위군
04,4530,대구광역시 군위군
05,7852,대구광역시 군위군
06,6961,대구광역시 군위군
07,4360,대구광역시 군위군
08,3328,대구광역시 군위군
09,3093,대구광역시 군위군
10,3551,대구광역시 군위군
11,3428,대구광역시 군위군
12,2732,대구광역시 군위군
01,15491,대구광역시 남구
02,15150,대구광역시 남구
03,18341,대구광역시 남구
04,18473,대구광역시 남구
05,21128,대구광역시 남구
06,19837,대구광역시 남구
