일시,지역명,방문자수
01,강원특별자치도 춘천시,8979957
01,강원특별자치도 원주시,9530785
01,강원특별자치도 강릉시,8031760
01,강원특별자치도 동해시,2946561
01,강원특별자치도 태백시,1491579
01,강원특별자치도 속초시,3936966
01,강원특별자치도 삼척시,2125769
01,강원특별자치도 홍천군,2496610
01,강원특별자치도 횡성군,1555292
01,강원특별자치도 영월군,974984
01,강원특별자치도 평창군,2588419
01,강원특별자치도 정선군,1634390
01,강원특별자치도 철원군,1246379
01,강원특별자치도 화천군,996882
01,강원특별자치도 양구군,674136
01,강원특별자치도 인제군,1291626
01,강원특별자치도 고성군,1551833
01,강원특별자치도 양양군,1851478
02,강원특별자치도 춘천시,8286297
02,강원특별자치도 원주시,8835746
02,강원특별자치도 강릉시,7381755
02,강원특별자치도 동해시,2607679
02,강원특별자치도 태백시,1288435
02,강원특별자치도 속초시,3763228
02,강원특별자치도 삼척시,1905294
02,강원특별자치도 홍천군,2252995
02,강원특별자치도 횡성군,1438571
02,강원특별자치도 영월군,908503
02,강원특별자치도 평창군,2250357
02,강원특별자치도 정선군,1499647
02,강원특별자치도 철원군,1159923
02,강원특별자치도 화천군,656144
02,강원특별자치도 양구군,619048
02,강원특별자치도 인제군,1115318
02,강원특별자치도 고성군,1494545
02,강원특별자치도 양양군,1737848
03,강원특별자치도 춘천시,10030162
03,강원특별자치도 원주시,10690647
03,강원특별자치도 강릉시,8434120
03,강원특별자치도 동해시,2895534
03,강원특별자치도 태백시,1360107
03,강원특별자치도 속초시,3695657
03,강원특별자치도 삼척시,2273493
03,강원특별자치도 홍천군,2275670
03,강원특별자치도 횡성군,1491219
03,강원특별자치도 영월군,1077945
03,강원특별자치도 평창군,1929804
03,강원특별자치도 정선군,1404124
03,강원특별자치도 철원군,1422416
03,강원특별자치도 화천군,850671
03,강원특별자치도 양구군,758608
03,강원특별자치도 인제군,1265258
03,강원특별자치도 고성군,1563456
03,강원특별자치도 양양군,1913423
04,강원특별자치도 춘천시,9020946
04,강원특별자치도 원주시,9438786
04,강원특별자치도 강릉시,7823672
04,강원특별자치도 동해시,3036198
04,강원특별자치도 태백시,1386885
04,강원특별자치도 속초시,3934776
04,강원특별자치도 삼척시,2333215
04,강원특별자치도 홍천군,2414748
04,강원특별자치도 횡성군,1571720
04,강원특별자치도 영월군,1125799
04,강원특별자치도 평창군,2064878
04,강원특별자치도 정선군,1400968
04,강원특별자치도 철원군,1379111
04,강원특별자치도 화천군,835680
04,강원특별자치도 양구군,736878
04,강원특별자치도 인제군,1283085
04,강원특별자치도 고성군,1609241
04,강원특별자치도 양양군,2056085
05,강원특별자치도 춘천시,10161808
05,강원특별자치도 원주시,10773063
05,강원특별자치도 강릉시,8667471
05,강원특별자치도 동해시,3129597
05,강원특별자치도 태백시,1474205
05,강원특별자치도 속초시,4117245
05,강원특별자치도 삼척시,2521327
05,강원특별자치도 홍천군,2717602
05,강원특별자치도 횡성군,1792059
05,강원특별자치도 영월군,1293411
05,강원특별자치도 평창군,2420523
05,강원특별자치도 정선군,1636018
05,강원특별자치도 철원군,1549743
05,강원특별자치도 화천군,926535
05,강원특별자치도 양구군,824325
05,강원특별자치도 인제군,1519774
05,강원특별자치도 고성군,1810761
05,강원특별자치도 양양군,2293955
06,강원특별자치도 춘천시,9784038
06,강원특별자치도 원주시,10257942
06,강원특별자치도 강릉시,8620919
06,강원특별자치도 동해시,3058583
06,강원특별자치도 태백시,1497506
06,강원특별자치도 속초시,4215585
06,강원특별자치도 삼척시,2431209
06,강원특별자치도 홍천군,2695712
06,강원특별자치도 횡성군,1759371
06,강원특별자치도 영월군,1261351
06,강원특별자치도 평창군,2427738
06,강원특별자치도 정선군,1558537
06,강원특별자치도 철원군,1385718
06,강원특별자치도 화천군,886637
06,강원특별자치도 양구군,798602
06,강원특별자치도 인제군,1505903
06,강원특별자치도 고성군,1867225
06,강원특별자치도 양양군,2349342
07,강원특별자치도 춘천시,9730577
07,강원특별자치도 원주시,10487323
07,강원특별자치도 강릉시,8874142
07,강원특별자치도 동해시,3262186
07,강원특별자치도 태백시,1624815
07,강원특별자치도 속초시,4634845
07,강원특별자치도 삼척시,2593341
07,강원특별자치도 홍천군,2969209
07,강원특별자치도 횡성군,1917632
07,강원특별자치도 영월군,1352503
07,강원특별자치도 평창군,2738199
07,강원특별자치도 정선군,1763096
07,강원특별자치도 철원군,1408779
07,강원특별자치도 화천군,974341
07,강원특별자치도 양구군,814114
07,강원특별자치도 인제군,1650684
07,강원특별자치도 고성군,2131199
07,강원특별자치도 양양군,2636312
08,강원특별자치도 춘천시,9891462
08,강원특별자치도 원주시,10519686
08,강원특별자치도 강릉시,9230127
08,강원특별자치도 동해시,3338521
08,강원특별자치도 태백시,1679957
08,강원특별자치도 속초시,5053362
08,강원특별자치도 삼척시,2751270
08,강원특별자치도 홍천군,3213275
08,강원특별자치도 횡성군,2092457
08,강원특별자치도 영월군,1531711
08,강원특별자치도 평창군,3093298
08,강원특별자치도 정선군,1931138
08,강원특별자치도 철원군,1477416
08,강원특별자치도 화천군,1213371
08,강원특별자치도 양구군,815529
08,강원특별자치도 인제군,1870892
08,강원특별자치도 고성군,2326749
08,강원특별자치도 양양군,2908661
09,강원특별자치도 춘천시,9862210
09,강원특별자치도 원주시,10659003
09,강원특별자치도 강릉시,8443099
09,강원특별자치도 동해시,3085581
09,강원특별자치도 태백시,1553469
09,강원특별자치도 속초시,4177187
09,강원특별자치도 삼척시,2530676
09,강원특별자치도 홍천군,2787885
09,강원특별자치도 횡성군,1830914
09,강원특별자치도 영월군,1299626
09,강원특별자치도 평창군,2552777
09,강원특별자치도 정선군,1643484
09,강원특별자치도 철원군,1523445
09,강원특별자치도 화천군,971726
09,강원특별자치도 양구군,848037
09,강원특별자치도 인제군,1587484
09,강원특별자치도 고성군,1883111
09,강원특별자치도 양양군,2265427
10,강원특별자치도 춘천시,10110643
10,강원특별자치도 원주시,10872565
10,강원특별자치도 강릉시,8668725
10,강원특별자치도 동해시,3197497
10,강원특별자치도 태백시,1583625
10,강원특별자치도 속초시,4724839
10,강원특별자치도 삼척시,2472768
10,강원특별자치도 홍천군,2841340
10,강원특별자치도 횡성군,1948573
10,강원특별자치도 영월군,1357705
10,강원특별자치도 평창군,2761627
10,강원특별자치도 정선군,1724301
10,강원특별자치도 철원군,1761235
10,강원특별자치도 화천군,949267
10,강원특별자치도 양구군,833814
10,강원특별자치도 인제군,1949641
10,강원특별자치도 고성군,2074759
10,강원특별자치도 양양군,2591573
11,강원특별자치도 춘천시,9499315
11,강원특별자치도 원주시,10368568
11,강원특별자치도 강릉시,7928864
11,강원특별자치도 동해시,2853682
11,강원특별자치도 태백시,1409418
11,강원특별자치도 속초시,3834911
11,강원특별자치도 삼척시,2233169
11,강원특별자치도 홍천군,2405558
11,강원특별자치도 횡성군,1545511
11,강원특별자치도 영월군,1091896
11,강원특별자치도 평창군,2029625
11,강원특별자치도 정선군,1398763
11,강원특별자치도 철원군,1270923
11,강원특별자치도 화천군,844167
11,강원특별자치도 양구군,773411
11,강원특별자치도 인제군,1288832
11,강원특별자치도 고성군,1530444
11,강원특별자치도 양양군,1821441
12,강원특별자치도 춘천시,9508170
12,강원특별자치도 원주시,10449383
12,강원특별자치도 강릉시,8315581
12,강원특별자치도 동해시,2960377
12,강원특별자치도 태백시,1442036
12,강원특별자치도 속초시,4148135
12,강원특별자치도 삼척시,2213172
12,강원특별자치도 홍천군,2547185
12,강원특별자치도 횡성군,1585295
12,강원특별자치도 영월군,1091444
12,강원특별자치도 평창군,2425155
12,강원특별자치도 정선군,1578288
12,강원특별자치도 철원군,1283590
12,강원특별자치도 화천군,810744
12,강원특별자치도 양구군,748479
12,강원특별자치도 인제군,1375253
12,강원특별자치도 고성군,1721786
12,강원특별자치도 양양군,1852368
01,경상남도 창원시 의창구,6539494
01,경상남도 창원시 성산구,7692335
01,경상남도 창원시 마산합포구,5368131
01,경상남도 창원시 마산회원구,4950328
01,경상남도 창원시 진해구,4286402
01,경상남도 진주시,7187270
01,경상남도 통영시,3617723
01,경상남도 사천시,3115532
01,경상남도 김해시,12699510
